NIVEL_ADMINISTRATIVO,GEO_COD,GEO_COD_DSG,POP_RESIDENTE_M,POP_RESIDENTE_F,POP_PRESENTE_M,POP_PRESENTE_F,POP_ATIVA_M,POP_ATIVA_F,POP_EMPREGADA_M,POP_EMPREGADA_F,POP_DESEMPREGADA_M,POP_DESEMPREGADA_F,TAXA_DESEMPREGO_M,TAXA_DESEMPREGO_F,POP_EMPREGADA_SET_PRIMARIO,POP_EMPREGADA_SET_SECUNDARIO,POP_EMPREGADA_SET_TERCIARIO,POP_DESEMPREGADA_PROC_1_EMP_M,POP_DESEMPREGADA_PROC_1_EMP_F,POP_DESEMPREGADA_PROC_NOVO_EMP_M,POP_DESEMPREGADA_PROC_NOVO_EMP_F,DENSIDADE_TOTAL,DENSIDADE_TOTAL_M,DENSIDADE_TOTAL_F,IDADE_MEDIA,M_0_14,M_15_24,M_25_64,M_65_74,M_75,F_0_14,F_15_24,F_25_64,F_65_74,F_75,COD_DISTRITO_INE,COD_CONCELHO_INE,COD_FREGUESIA_INE
6,131301,A Ver-o-Mar,4111,4564,3890,4472,2198,2108,1904,1796,294,312,13.375999999999999,14.801,167,1110,2423,47,44,247,268,1686,799,887,38.310000000000002,773,513,2363,315,147,733,477,2702,371,281,15,219,2953
6,30864,Abação (São Tomé),1143,1109,1129,1094,653,542,563,433,90,109,13.782999999999999,20.111000000000001,5,618,373,13,10,77,99,432.30000000000001,219.40000000000001,212.90000000000001,35.549999999999997,214,160,670,61,38,214,149,631,67,48,4,55,578
6,171401,Abaças,465,500,433,465,190,149,173,125,17,24,8.9469999999999992,16.106999999999999,87,60,151,3,5,14,19,51.100000000000001,24.600000000000001,26.5,45.57,71,52,247,53,42,55,41,245,75,84,19,282,3859
6,30201,Abade de Neiva,971,1053,898,1009,536,503,469,446,67,57,12.5,11.332000000000001,18,531,366,13,14,54,43,269.69999999999999,129.40000000000001,140.30000000000001,37.729999999999997,177,139,547,76,32,165,143,608,72,65,4,54,489
6,40701,Abambres,179,168,174,169,79,43,77,39,2,4,2.532,9.3019999999999996,32,30,54,0,2,2,2,18.399999999999999,9.5,8.9000000000000004,50.409999999999997,20,21,85,29,24,12,9,83,37,27,5,72,1129
6,150901,Abela,442,448,445,453,206,137,195,122,11,15,5.3399999999999999,10.949,67,70,180,1,4,10,11,6.5,3.2000000000000002,3.2999999999999998,49.729999999999997,46,37,225,70,64,51,35,191,85,86,17,254,3301
6,141601,Abitureiras,455,517,435,497,212,208,192,186,20,22,9.4339999999999993,10.577,39,57,282,3,6,17,16,41,19.199999999999999,21.800000000000001,47.5,60,36,246,57,56,54,39,256,73,95,16,241,3179
6,130102,Aboim,284,312,272,303,141,116,123,91,18,25,12.766,21.552,14,86,114,4,10,14,15,113.7,54.200000000000003,59.5,41.729999999999997,46,37,153,20,28,47,32,171,30,32,15,207,2674
6,160101,Aboim das Choças,150,183,143,185,62,64,59,60,3,4,4.8390000000000004,6.25,21,30,68,1,1,2,3,182.19999999999999,82.099999999999994,100.09999999999999,49.960000000000001,25,6,73,18,28,22,10,88,27,36,18,259,3331
6,131101,Abragão,1178,1163,1099,1147,591,365,506,297,85,68,14.382,18.629999999999999,16,521,266,10,20,75,48,245.59999999999999,123.59999999999999,122,36.659999999999997,242,155,626,95,60,235,143,609,101,75,15,217,2900
