,COD_ACIDENTE,DISTRITO,LATITUDE,LONGITUDE,VIA,KM,QT_FLIGEIROS,QT_FGRAVES,QT_MORTOS,QT_VIAS_SENTIDO,VEL_LIM_LOCAL,BERMA_VIA,CONDICAO_ADERENCIA,FAIXA_RODAGEM,FATOR_ATMOSFERICO,INTERSECAO_VIA,LOCALIZACAO,LUMINOSIDADE,PERFIL_VIA,PLANTA_VIA,SITUACAO_ACIDENTE,TIPO_NATUREZA,DIA_SEMANA,FLAG_FERIADO,QT_VEICULOS,COD_FREGUESIA,DATA,HORA,GRAVIDADE,ERA_DIA,MAU_TEMPO,ESTRADA_SECA,DENSIDADE_TOTAL,COD_DISTRITO_INE,COD_CONCELHO_INE,COD_FREGUESIA_INE,TOTAL
48,2007281233,Braga,41.580695,-8.788546,EN(d)13,49.95,2,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em cruzamento,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,SÁBADO       ,1,2,3,2007-04-25,19,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
141,2007295665,Braga,41.383826,-8.315731,EN106,2.0,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,SÁBADO       ,0,2,3,2007-09-26,18,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
179,2007294594,Braga,41.591925,-8.785815,EN(d)13,51.25,1,0,0,1.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Atropelamento,QUINTA-FEIRA ,0,1,3,2007-09-02,21,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
336,2008333100,Braga,41.598228999999996,-8.785133,EN(d)13,51.95,1,0,0,2.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Despiste,SÁBADO       ,0,1,3,2008-07-13,15,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
438,2009366736,Braga,41.601334,-8.78452,EN(d)13,52.3,1,0,0,1.0,50,Sem berma ou impraticável,Húmido,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, sem iluminação",Em patamar,Recta,Em plena via,Despiste,QUINTA-FEIRA ,0,1,3,2009-03-02,20,ligeiro,Nao,Nao,Nao,141.3,1,1,3,4013
442,2009366756,Braga,41.521423999999996,-8.569497,EN103,26.4,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Com inclinação,Curva,Em plena via,Colisão,QUINTA-FEIRA ,0,2,3,2009-03-13,14,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
490,2009353258,Braga,41.594174,-8.785523,EN(d)13,51.5,1,0,0,1.0,50,Berma pavimentada,Molhado,Reversível,Bom tempo,Fora da intersecção,Dentro das localidades,"Noite, sem iluminação",Em patamar,Recta,Em plena via,Atropelamento,QUARTA-FEIRA ,0,1,3,2008-12-06,20,ligeiro,Nao,Nao,Nao,141.3,1,1,3,4013
509,2008341765,Braga,41.596875,-8.785217,EN(d)13,51.8,1,0,0,1.0,50,Sem berma ou impraticável,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Na berma,Despiste,QUARTA-FEIRA ,0,1,3,2008-09-06,9,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
521,2008337334,Braga,41.589233,-8.786181,EN(d)13,50.95,1,0,0,1.0,50,Berma pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Fora da intersecção,Dentro das localidades,Em pleno dia,Em patamar,Recta,Em plena via,Colisão,TERÇA-FEIRA  ,0,2,3,2008-08-02,13,ligeiro,Sim,Nao,Sim,141.3,1,1,3,4013
539,2009351465,Braga,41.587003,-8.786478,EN(d)13,50.7,1,0,0,1.0,50,Berma não pavimentada,Seco e limpo,Dois sentidos,Bom tempo,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Em patamar,Recta,Em plena via,Colisão,SEXTA-FEIRA  ,0,2,3,2008-12-24,18,ligeiro,Nao,Nao,Sim,141.3,1,1,3,4013
